Mouse demo starting...
Event received: Mouse(MouseEvent { kind: Moved, column: 57, row: 10, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 57, row: 10, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 55, row: 9, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 55, row: 9, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 54, row: 9, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 54, row: 9, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 52, row: 8, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 52, row: 8, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 51, row: 8, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 51, row: 8, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 50, row: 8, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 50, row: 8, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 48, row: 8, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 48, row: 8, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 47, row: 8, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 47, row: 8, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 46, row: 8, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 46, row: 8, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 44, row: 7, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 44, row: 7, modifiers: KeyModifiers(0x0) }
Event received: Mouse(MouseEvent { kind: Moved, column: 43, row: 7, modifiers: KeyModifiers(0x0) })
Mouse event: MouseEvent { kind: Moved, column: 43, row: 7, modifiers: KeyModifiers(0x0) }
